Province/State,Country/Region,Lat,Long,Date,Number of confirmed cases
French Guiana,France,3.9339,-53.1258,5/1/20,128
French Polynesia,France,-17.6797,149.4068,5/1/20,58
Guadeloupe,France,16.265,-61.551,5/1/20,152
Martinique,France,14.6415,-61.0242,5/1/20,179
Mayotte,France,-12.8275,45.166244,5/1/20,539
New Caledonia,France,-20.904305,165.618042,5/1/20,18
Reunion,France,-21.1151,55.5364,5/1/20,422
Saint Barthelemy,France,17.9,-62.8333,5/1/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,5/1/20,1
St Martin,France,18.0708,-63.0501,5/1/20,38
Wallis and Futuna,France,-14.2938,-178.1165,5/1/20,0
,France,46.2276,2.2137,5/1/20,167846
,Italy,41.87194,12.56738,5/1/20,207428
,US,40.0,-100.0,5/1/20,1115972
,Vietnam,14.058324,108.277199,5/1/20,270
